"","Soil_ID","K_fix","K_mg_kg","K_cmol","Ca_cmol","Mg_cmol","Na_cmol","CEC_cmol","clay_pct","silt_pct","sand_pct","x","y","coords.x1","coords.x2","optional"
"97","VSN A",-15.3,147.033333333333,0.4,10.2666666666667,4.7,0.166666666666667,14.9333333333333,22.1725803533333,35.0095140733333,42.8179055733333,-121.2365456,38.47343867,-121.2365456,38.47343867,TRUE
"98","VSN B",-0.733333333333333,144.1,0.333333333333333,10.5666666666667,6.9,0.266666666666667,16.8333333333333,25.6391144666667,28.6922930233333,45.66859251,-121.2353912,38.47282896,-121.2353912,38.47282896,TRUE
"99","VSN C",234.4,70.3,0.166666666666667,11.9333333333333,4.86666666666667,0.2,14.3333333333333,12.64724078,34.8766474,52.4761118266667,-121.2344109,38.47230025,-121.2344109,38.47230025,TRUE
"100","VSS A",320.02,52.62,0.14,8.22,5.36,0.1,11.32,20.365031672,24.741441292,54.893527038,-121.2265103,38.16542565,-121.2265103,38.16542565,TRUE
"101","VSS B",131.7,73.1333333333333,0.166666666666667,7.83333333333333,4.33333333333333,0.033333333333333,11.8333333333333,27.2186023833333,20.3472980066667,52.4340996033333,-121.224452,38.46781258,-121.224452,38.46781258,TRUE
"102","VSS C",118.366666666667,73.6,0.166666666666667,7.06666666666667,3.6,0,7.56666666666667,25.0499950233333,18.5069069633333,56.4430980133333,-121.2249049,38.4672876,-121.2249049,38.4672876,TRUE
"103","VSS D",188.266666666667,69.2333333333333,0.2,11.6666666666667,7.6,0.033333333333333,18.6666666666667,35.988904,16.7541088066667,47.2569871966667,-121.2253878,38.46673318,-121.2253878,38.46673318,TRUE
"104","VSS E",243.233333333333,66.2666666666667,0.166666666666667,8.36666666666667,4.96666666666667,0.066666666666667,12,26.99231553,21.10923797,51.8984464933333,-121.2246454,38.46415873,-121.2246454,38.46415873,TRUE
"105","VSS F",138.166666666667,55.3666666666667,0.166666666666667,7.3,4.13333333333333,0,11.2666666666667,20.1080225766667,31.4459069966667,48.4460704266667,-121.2241276,38.46476782,-121.2241276,38.46476782,TRUE
"106","VSS G",41.3333333333333,156.4,0.4,11.6333333333333,9.3,0.133333333333333,19.4666666666667,25.2849458333333,31.8035810633333,42.9114731066667,-121.2233045,38.46521338,-121.2233045,38.46521338,TRUE
"107","VSS H",185.866666666667,102.6,0.266666666666667,10,6.96666666666667,0.133333333333333,14.6333333333333,29.5675411133333,19.3571499066667,51.0753089866667,-121.2226806,38.46644894,-121.2226806,38.46644894,TRUE
