"","Soil.ID","K_fix","K_mg_kg","K_cmol","Ca_cmol","Mg_cmol","Na_cmol","CEC_cmol","clay_pct","silt_pct","sand_pct","x","y"
"16","Carlson G",-61.405,85.6125,0.2325,8.9775,4.895,0.2175,14.8525,24.938093699,29.06550082325,45.99640547925,-121.045116,37.996439
"17","Carlson H",143.8,54.3,0.1,5.4,3,0,8.9,14.00002672,35.08945944,50.91051384,-121.041744,37.996509
"18","Carlson I",288.1,37.4,0.1,4.7,2.8,0.2,7.6,11.72091691,6.957510863,81.32157222,-121.04359,37.996468
"19","CM A",-17.3666666666667,65.4,0.133333333333333,5.06666666666667,1.3,0,8.53333333333333,15.20505715,27.3139812166667,57.4809616333333,-121.085485,38.144246
"20","CM B",-46.0285714285714,88.4285714285714,0.2,4.08571428571429,1.1,0,6.2,11.350377345,17.62935173,71.0202709228572,-121.084738,38.144263
"21","CM C",198.342857142857,91.1714285714286,0.242857142857143,10.9571428571429,3.74285714285714,0.0571428571428571,14.6285714285714,23.0426984842857,28.8761257542857,48.0811757614286,-121.084097,38.14427
"22","CM D",282.528571428571,51.8714285714286,0.114285714285714,12.0428571428571,4.78571428571429,0.285714285714286,15.4142857142857,17.8700467702857,37.2099199671429,44.9200332642857,-121.083387,38.144285
"23","CM F",435.416666666667,55.35,0.116666666666667,8.85,4.88333333333333,0.3,14.3166666666667,22.7568294166667,16.5437959733333,60.6993746066667,-121.082757,38.144271
"24","CM G",302.328571428571,43.5,0.1,7.5,3.37142857142857,0.1,12.0142857142857,12.002935596,42.6252843057143,45.3717800971429,-121.082121,38.144293
"25","CM H",198,53.78,0.14,9.04,3.46,0.16,16.26,17.66376727,29.879919076,52.456313654,-121.081148,38.144316
"26","CM I",97.3857142857143,61.0857142857143,0.142857142857143,7.08571428571429,3.41428571428571,0.171428571428571,13.3285714285714,20.99454465,36.6255286214286,42.3799267271429,-121.080838,38.144314
"27","CM J",208.257142857143,59.0571428571429,0.171428571428571,10.7857142857143,4.47142857142857,0.314285714285714,14.9857142857143,21.7453985985714,25.3184796842857,52.9361217085714,-121.080518,38.144295
"28","CM K",362.814285714286,56.1,0.142857142857143,9.34285714285714,2.27142857142857,0.0714285714285714,10.7428571428571,14.8086579671429,32.9995815842857,52.1917604457143,-121.080023,38.144331
"29","CM L",245.814285714286,50.3285714285714,0.114285714285714,5.72857142857143,0.9,0.0571428571428571,6.21428571428571,17.7354043828571,8.62022625885714,73.6443693571428,-121.079344,38.144333
"30","CM M",3.37142857142857,93.2285714285714,0.257142857142857,6.58571428571429,1.78571428571429,0.0285714285714286,9.38571428571429,20.6903102571429,8.34756503685714,70.9621247057143,-121.078967,38.14436
"31","CM N",0.971428571428571,48.7428571428571,0.114285714285714,3.17142857142857,0.728571428571429,0,6.22857142857143,20.9063365814286,16.7106884557143,62.3829749628571,-121.078162,38.144339
"32","CM P",61.2857142857143,52.8285714285714,0.114285714285714,6.47142857142857,2.98571428571429,0.214285714285714,9.84285714285714,19.0568873771429,16.493138626,64.4499739971429,-121.080648,38.146808
"33","CM Q",219.685714285714,70.2428571428571,0.2,8.7,3.47142857142857,0.157142857142857,12.8571428571429,25.1342388557143,14.2978112357143,60.56794991,-121.078924,38.146842
"34","DH A",308.66,65.8,0.16,15.28,9.78,0.46,16.84,28.252566092,45.212234622,26.535199292,-121.398626,38.20429
"35","DH C",433.485714285714,108.414285714286,0.271428571428571,15.4142857142857,6.28571428571429,0.514285714285714,13.1857142857143,28.1023123357143,28.1023123357143,37.54968113,-121.398127,38.204341
"36","DH D",234.6,82.9714285714286,0.2,18.9428571428571,6.27142857142857,0.471428571428571,13.8142857142857,35.2884937385714,35.2884937385714,33.4038085842857,-121.396906,38.202725
"37","DH E",396.442857142857,60.8428571428571,0.157142857142857,12.1714285714286,5.65714285714286,0.214285714285714,13.2857142857143,34.8954211485714,34.8954211485714,31.2751338257143,-121.396923,38.20257
"38","DH F",287.428571428571,105.471428571429,0.271428571428571,16.5142857142857,7.21428571428571,0.542857142857143,15.2142857142857,41.5133502871429,41.5133502871429,31.4202670942857,-121.396872,38.202433
"39","DON A",25.6042857142857,136.954285714286,0.335714285714286,22.3728571428571,12.3857142857143,0.62,31.8728571428571,53.0789843085714,36.8377439862857,10.0832717053429,-121.106495,37.971256
"40","DON B",121.1,209.757142857143,0.514285714285714,29.6714285714286,18.3857142857143,0.442857142857143,23.9285714285714,40.7381967828571,42.6630489285714,16.5987542885714,-121.10449,37.971304
"41","DON C",190.671428571429,230.742857142857,0.6,24.3571428571429,15,0.5,19.2,33.2905711,40.98540402,25.72402488,-121.102644,37.971356
"42","DON D",101.214285714286,196.385714285714,0.514285714285714,25.8,19.4285714285714,0.657142857142857,25.6285714285714,44.5831265214286,42.1847235471429,13.2321499357143,-121.106413,37.97002
"43","DON E",-56.1714285714286,206.842857142857,0.528571428571429,24.1,15.2,0.571428571428571,22.7714285714286,38.2752462442857,43.6987658857143,18.02598787,-121.104498,37.970088
"44","DON F",122.357142857143,195.271428571429,0.485714285714286,23.0857142857143,12.5428571428571,0.414285714285714,24.0285714285714,38.4211872728571,40.9466842514286,20.6321284714286,-121.102641,37.970157
"45","DON G",125.114285714286,161.628571428571,0.385714285714286,22.7571428571429,15.9285714285714,0.514285714285714,25.7714285714286,43.30708311,38.6405726785714,18.0523442071429,-121.106398,37.96883
"46","DON H",-35.4571428571429,143.171428571429,0.342857142857143,12.3142857142857,6.22857142857143,0.214285714285714,19.6571428571429,27.9498682528571,39.1809461842857,32.8691855671429,-121.104519,37.968863
"47","DON I",148.157142857143,131.4,0.328571428571429,16.7428571428571,14.0857142857143,0.857142857142857,26.5571428571429,47.5967309242857,38.5787160271429,13.8245530485714,-121.10256,37.968885
"48","JD A",100.75,64.2857142857143,0.164285714285714,10.3357142857143,6.13571428571429,0.314285714285714,18.4285714285714,23.432543205,15.6573188697857,60.910137925,-121.121638,38.239064
